# STATION: KTUS,,,,,,,
# STATION NAME: Tucson, Tucson International Airport,,,,,,
# LATITUDE: 32.13153,,,,,,,
# LONGITUDE: -110.95635,,,,,,,
# ELEVATION [ft]: 2546.0,,,,,,,
# STATE: AZ,,,,,,,
Station_ID,Date_Time,air_temp_set_1,dew_point_temperature_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,dew_point_temperature_set_1d
,,Celsius,Celsius,%,m/s,Degrees,Celsius
KTUS,07/01/2023 00:00 UTC,39,,5.19,5.14,310,-6.47
KTUS,07/01/2023 00:05 UTC,39,,5.61,3.09,330,-5.48
KTUS,07/01/2023 00:10 UTC,39,,5.61,5.66,280,-5.48
KTUS,07/01/2023 00:15 UTC,39,,5.61,4.63,340,-5.48
KTUS,07/01/2023 00:20 UTC,39,,5.61,4.63,360,-5.48
KTUS,07/01/2023 00:25 UTC,39,,5.61,5.66,10,-5.48
KTUS,07/01/2023 00:30 UTC,39,,5.61,4.12,40,-5.48
KTUS,07/01/2023 00:35 UTC,39,,5.61,5.66,330,-5.48
KTUS,07/01/2023 00:40 UTC,39,,5.61,4.63,10,-5.48
KTUS,07/01/2023 00:45 UTC,39,,5.61,4.12,300,-5.48
KTUS,07/01/2023 00:50 UTC,39,,5.61,3.09,300,-5.48
KTUS,07/01/2023 00:53 UTC,38.9,-6.1,5.59,6.69,310,-5.6
KTUS,07/01/2023 00:55 UTC,39,,5.61,6.17,310,-5.48
KTUS,07/01/2023 01:00 UTC,38,,5.92,5.14,310,-5.52
KTUS,07/01/2023 01:05 UTC,38,,5.92,5.14,320,-5.52
KTUS,07/01/2023 01:10 UTC,38,,5.92,5.14,330,-5.52
KTUS,07/01/2023 01:15 UTC,38,,5.92,4.12,340,-5.52
KTUS,07/01/2023 01:20 UTC,38,,5.92,5.66,340,-5.52
KTUS,07/01/2023 01:25 UTC,38,,5.92,5.14,330,-5.52
KTUS,07/01/2023 01:30 UTC,38,,5.92,5.14,330,-5.52
KTUS,07/01/2023 01:35 UTC,38,,5.92,5.14,340,-5.52
KTUS,07/01/2023 01:40 UTC,38,,5.92,4.63,350,-5.52
KTUS,07/01/2023 01:45 UTC,38,,5.92,5.66,350,-5.52
KTUS,07/01/2023 01:50 UTC,38,,5.92,5.14,330,-5.52
KTUS,07/01/2023 01:53 UTC,37.2,-6.1,6.13,3.6,330,-5.66
KTUS,07/01/2023 01:55 UTC,37,,6.25,3.09,330,-5.56
KTUS,07/01/2023 02:00 UTC,37,,5.78,5.14,340,-6.56
KTUS,07/01/2023 02:05 UTC,37,,6.25,4.63,340,-5.56
KTUS,07/01/2023 02:10 UTC,37,,6.25,4.12,330,-5.56
KTUS,07/01/2023 02:15 UTC,37,,6.25,4.63,330,-5.56
KTUS,07/01/2023 02:20 UTC,37,,6.25,4.63,340,-5.56
